,Columns Names,Null_total
0,CLIENTNUM,0
1,Attrition_Flag,0
2,Customer_Age,0
3,Gender,0
4,Dependent_count,0
5,Education_Level,0
6,Marital_Status,0
7,Income_Category,0
8,Card_Category,0
9,Months_on_book,0
10,Total_Relationship_Count,0
11,Months_Inactive_12_mon,0
12,Contacts_Count_12_mon,0
13,Credit_Limit,0
14,Total_Revolving_Bal,0
15,Avg_Open_To_Buy,0
16,Total_Amt_Chng_Q4_Q1,0
17,Total_Trans_Amt,0
18,Total_Trans_Ct,0
19,Total_Ct_Chng_Q4_Q1,0
20,Avg_Utilization_Ratio,0
21,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,0
22,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,0
